sku,account_ref,user_ref,quantity,value
LPMJXH,,,3,196.43
RIAZZI,IOAADSVPVRUPTA,,1,19.22
TTVXFA,NJOZWEISLGCJOV,,2,243.98
ZPSRRM,,,1,159.43
HBZJHS,,,1,241.03
NODXXC,QRNAVWLPUZQITP,ZEGHBDVPWLNU,3,70.21
PDMHDZ,GALHQACPTWQCJT,FSJMRLCSUGBB,3,581.18
DDABCJ,,,2,288.77
FDVPSH,OOQOGDHJAEEKUY,,3,257.9
HVJRNO,,,1,181.03
VCUYXT,,,3,475.18
RRDNCQ,XVRYMRTTPAWSKJ,,3,50.94
QXMABR,GDPFCIAQHLQZSI,OGDARBYRVFDU,1,90.32
SFBWPI,WAOINRPYKFAPYX,,2,242.73
PTVVHC,,,3,303.8
AIVBTM,VJRPJMAIFJVHZY,FYEMUBVFJLBR,2,229.93
VYONAL,WAOINRPYKFAPYX,,2,283.58
IQIMWT,VCRUGATORCZQYM,FWUBZGTXHYGA,3,215.57
MVNGKY,MGWKMVNHKPDSEL,,1,388.11
JAEXEY,,,1,342.7
DALMSE,,,2,399.33
BZACDI,NPZJJKVXUBPROD,CCLWHWVIXZTO,2,91.8
DHYAHM,,,2,442.01
DPKANN,,,2,205.44
OHYPHF,,,1,423.98
KLPYHB,LGMWDGCFACOBTT,,2,121.13
VSYJBC,HNDBOLUEJSVMQZ,FQUWWWVSLAOG,3,533.24
CHBXME,,,2,107.03
LGJXQZ,,,2,596.25
ZLZZEI,ZQPTWAMMBXNTWN,FYJWSIIFCMCQ,1,237.95
TEPLLG,,,1,58.86
NFEYSV,AGQJMCJXWWLXZB,AEHCWZYBCPOZ,1,494.75
NFEYSV,,,1,490.12
FDYIFV,,,3,636.57
KIDUDZ,,,3,363.21
LJYDHD,VZDOMPTFEBLUQK,,2,202.37
IEZWKH,LRRXUXIRTTHVNI,VQGSCAGBVDLR,1,418.56
PWCYRR,,,1,505.26
FEFWPU,,,1,537.7
KXSJXJ,TXASWXRDMHLMAK,,1,311.77
DMLTDA,,,3,205.13
RPLAXB,ZRFBQSLERGJGDJ,LDZYOILTIGNK,2,588.61
HPSSGK,QRPNZPCMXDVXKQ,,1,374.65
ESNTXV,NYMPBWJHCZRQOV,TKDCTQRJHMZL,2,68.14
GXZCIC,GOEBVJVORDQDNQ,PCZBMSPNLBXI,3,530.22
OUVLNL,GRFHKUTJJHHQRD,,3,449.08
SWPAHE,,,2,196.79
LDBSQD,ZJURRWEKLFDEBE,,1,321.29
MOYPKO,MBXTGYMELOGTBL,ZTWJTNSOHXZE,1,522.7
TQZVEN,,,1,465.66
ZVAFGN,,,3,39.67
NOQBAW,,,3,148.36
KYVSRU,,,1,22.84
ZESRYQ,NJFGQKWRFTZBKM,MCWLFGFGYJOR,1,609.34
GXBOLA,YRAXQFDONPSDVI,,2,375.23
TOUXPF,,,2,461.46
LUXJAM,,,2,522.27
RDTMMN,,,1,436.08
WHAOAU,,,2,43.2
PTEIHD,,,1,364.85
BSGTVA,NSHJCRAVGQCHGR,PSJMZVPNJRBT,1,203.09
PJOINX,LCJGUZEMHDDHTU,,3,195.19
FXDKNK,NRQXJZMMYINMJE,GOCHWPTKJAHR,2,297
RTXBZT,SKPYFIEEXASCBX,,2,178.24
TKVLEN,GLMCAEAKCPYLMY,MRMKOXIPWLBD,1,82.25
QQITHM,,,3,192.33
ICVLPU,HPMPEYLOHEYHHR,,3,614.83
WOAIXA,DUKXVFBQGGPLLO,,1,321.88
GCSTRX,,,2,486.49
EGSYUM,,,2,334.39
OGPKEI,,,3,547.8
PXGGYU,IWVVPFBDCKJZBQ,MMTTEAZIFJJD,3,184.45
UBDQOZ,LIGDQPGUDSYVMP,AZEBGDAOXKZB,3,79.05
CTGBZE,MDUGFBEPFGZAOF,,2,55.78
TKVLEN,,,1,86.02
RVOGGO,OJYXAUXDRBVCSY,,1,338.95
WPFTVA,,,1,621.66
RNLEHS,DVBZERSLTNOOQL,,3,260.17
LUMMJL,,,3,138.29
OCKZIU,,,1,47.95
FUBERN,AGJTBYHMNUUOKO,,2,406.89
UBDQOZ,,,3,97.56
CLRWAC,JYHQODFBHGGQEX,,1,516.74
UWQCKB,,,1,278.22
YYDAQO,,,2,487.59
BFLJLO,,,3,473.05
OQIMLI,JNPMNVBGNAKADC,,1,340.08
MJSTRN,,,2,341.97
HUQURU,SCJESGWDRCCFGV,,3,387.43
UHRBHW,KJCUFCNRPPPWLF,GAHKYIFAUMCY,1,236.03
NXRDTP,,,3,198.2
OEPYWR,,,2,183.53
ZGKWJJ,,,1,536.33
YJKSWN,YOARLCXLSVBKQL,,2,101.65
HQXMIT,BROZYUDGFDBFIV,,3,464.15
XHHRQK,JVSKUVGJKPTJJW,,1,277.32
GRANUY,,,2,315.92
VWYCGJ,ZVXDMBNMNOWUTF,XPMKKGRNWPAE,3,605.34
ZZCDUA,,,1,470.55
SAWVYF,FIPHMPWQQRWWGO,,2,429.57
ONMOBY,,,1,388.14
KHXHVQ,,,3,231.68
RFLEWC,,,1,138.33
FFTMEP,,,3,61.34
BLYIKT,IBCCRYUUGSMIZD,,2,251.37
XAKYEH,,,1,256.54
WDDGYX,GDPFCIAQHLQZSI,UTDRRNYXWALO,2,51.31
SOISOL,,,1,43.49
XZKVZX,,,2,482.63
FWNECT,YSIZYUWNWYXSBI,,3,364.52
OJHKUB,,,1,352.26
GPMNWX,,,3,188.02
ASDVOR,LZDRTTXHQLPRGV,,1,468.85
OKRRTP,,,1,466.73
PDNGTS,DTIRZHVIFOURDF,VFPKAHRYVCBX,2,482.46
MZHBBY,RJTAJCXGATPWPB,FFXHRPEZDIXM,1,574.5
PGYDGL,ZSBSBPYUEVPADP,,3,647.74
OEFWQH,,,3,346.83
HLLYJB,,,3,75.09
FVEUEJ,,,2,413.34
ATBZOB,,,2,299.89
NTYDJQ,,,1,20.07
KSLNFZ,,,3,601.69
CUOUFL,TFTHAAAOWRNIJO,,2,179.03
WEYIRG,ZYDLMBLFHGZMOS,,1,371.32
QIQVFG,,,2,494.73
IXYPPW,,,1,508.64
ONTXJQ,EDOIBPJWNEYGIR,KGFEFSKJIRVG,2,500.2
LIJHHE,,,3,245.57
EZWBEV,,,1,190.67
QDTVED,YPGYHILEWOYBLN,,2,228.61
RGEVAD,,,1,487.15
SBLJUT,XYRGNWKHNBOPUI,ONGSAKWEQYSQ,2,265.73
DYVEDL,CSBBYDQVKPKPNO,,2,300.22
CNQWMP,,,2,377.51
JDFLIV,,,1,285.01
BMILGT,DFTBOLXNVAGUKE,,2,456.02
SRKIYK,KJJDZTDDIUGDAN,,2,226.21
OPVKIC,,,1,57.74
TARRRW,IEKBPBVDBBLTHC,,2,118.38
XGTFAH,,,3,422.29
HZQAMT,,,1,140.15
RSHKHV,,,3,261.43
CYBBNS,,,2,415.18
WAJPCK,,,2,231.9
SCRHUF,AGQJMCJXWWLXZB,,2,353.7
OUIXZA,,,1,336.39
HOXKOQ,VOPYKPESOPKNUJ,,1,347.03
FXDKNK,,,3,403.07
BOZJHX,WRNAJPEGUCGFKB,HNSWLEULXOTR,2,172.75
PAFEXR,CRSDEKTBVDJFGH,YMUJPDLGSHQO,2,143.1
UNQIFU,KCNVWSOWAEVMOK,,3,484.67
SVGWTX,CABFYGGLXWIBDE,OUHFLXFIHICW,3,523.91
XKJZBG,,,1,399.1
LITXBD,RKXCYQTKAKTOTF,,1,325.64
VFUDJB,,,1,554.23
QFVSIZ,,,2,203.78
DZRRVG,PFODWJWQRDOGNG,XGWPIFDRGCVE,1,230.65
GNFEXO,NLNFNRSBQBSIXB,,2,27.68
QWQWOW,VBRCWRGNGCBBNS,,1,140.63
VZGIXF,,,1,454.07
OKLYEB,,,2,679.1
QWTEKO,HZTRTRENWUZXZE,,2,116.03
IPLPMJ,KAYVGQPFVQPWBN,XHOCQSJRARUG,3,639.27
MLMDAH,,,3,42.23
CLXZDB,,,1,533.31
MFILDL,,,2,346.47
TDDCJU,LRRXUXIRTTHVNI,JJZGNMCATUYL,3,191.4
UJRVDP,ZXLTUDZARXDCWV,QQVRQQKEFSUD,2,196.73
LDYKKW,SEDEWBHTTEJHME,,2,136.4
PRAVGF,WYLMHUIZDIVCAX,,1,150.43
ELJINB,NYTUDKFLQIVRLX,DNETKYYGOMIN,2,448.82
LATURB,,,3,198.12
UGNCLB,,,2,339.06
PPQCAQ,,,1,608.6
GMGJTI,EMRRUSUVDDAKLU,VICUUZPAONWA,3,519.1
NGPOGH,WVIXNILLHXPSFV,GYZQHPQBIDLO,1,359.67
AMVHBB,,,3,371.65
GNZELP,,,2,550.37
NZIIZF,HZYCBZEABONAMU,,3,134.75
JUBNZN,,,3,113.72
RQLJRM,,,2,27.79
KEBMJE,,,3,282.97
MQHWAM,EZKPOPXHRZEPJX,,2,476.89
QTZJOT,AEMYWRQTZTIMXI,QRAUJEYINDUY,3,638.2
WYZSWX,,,2,127.91
PPVGZR,WBEBCFNMDHWNPO,,1,298.31
PDMHDZ,ESSZVMCEAIPYVN,TVNDQCNKHWBJ,2,466.04
GJWBQI,ACJCXUMQVEWAEI,HMVNWLDRRXKG,3,128.11
FPOSZT,,,2,413.89
ALMJGF,,,3,219.42
EKZHQB,,,1,135.93
DDNOIR,LIXJFAGPUVHPQW,XHPAYAYWPPML,3,653
GZZWMQ,QACGHPRCBSCGBF,NYNKEFZAEAKN,1,357.84
YPHLJJ,,,2,241.78
DUEBGM,,,1,371.22
ZYVFYT,QUWRZCFYCUINZO,,3,461.65
UYQVLI,,,3,419.83
YDANIO,FQVEJHMGIDMFUL,,2,152.74
ZSCNTR,GNFUCJPCCWGJSZ,,1,507.79
GRCNHD,,,1,523.3
DHZWYW,,,1,429.43
NWLFXD,,,1,177.75
ISPZYM,SEFMLNSBBYYEMJ,,3,571.64
GHRIYS,RSZNDNECKISNLB,LMHCXMSHYUJB,1,435.33
OXEMRL,LMYJDOTNBUCGTB,YDBBQRQVUUYK,1,470.19
NQFZOZ,,,3,492.36
UHRBHW,,,2,311.24
RWKNMU,GWUQILVCDNPSOC,VLRIBBIZPSUF,1,62.03
WUZIQU,QRNAVWLPUZQITP,,3,392.44
NMLLXI,ZYDLMBLFHGZMOS,CCSFXTPZUSUU,2,54.37
ZDTHHF,INPGNJINYXUFUF,ICIUTMBMJLPM,1,211.79
UTLTGY,RUKHEBAJALWYKK,FLHTALGIMOZF,2,122.41
ABRGRN,,,2,24.47
TCGWRN,,,2,311.03
IJBGXC,FKOQZTRECGBZKM,,3,430.98
GLEWVY,KJJDZTDDIUGDAN,LLOLKCYIHJWF,1,53.26
GTLHCS,,,1,340.29
GDXQEB,EZKPOPXHRZEPJX,QLQMKLYIHFOR,1,387.58
OTSYHY,JGYLUSKYLMUISH,IREGFWFMRLXH,3,517.7
JVZVKB,,,3,406.24
TXEHUL,,,2,347.72
ZSFXBX,,,3,217.33
ANZQXO,XWGJCOAMPBWVEL,KNJOAMLKHODL,1,300.58
CVWRTK,,,3,88.86
TNCSFI,,,1,209.03
MWDMHV,,,2,225.71
ENXPLZ,QRPNZPCMXDVXKQ,,2,515.47
KRMRTW,ZJURRWEKLFDEBE,,2,263.46
ZFAQPR,XNLKOJQUDHEGUQ,,1,387.48
ZNBEFZ,,,2,581.98
WQYXHT,,,1,582.89
FMNMQW,YRUWHPVYBQJHCR,,1,428.4
LZAPJZ,MHARMSXMKRHDLD,ZVJEQZPRFDVU,2,68.61
SVLCCM,QMZHBFUTPERHUT,,1,242.63
LYBKFI,EEQIYOTPAHKNVD,,2,21.11
ZGCXYC,SKPYFIEEXASCBX,,1,279.59
ATRVCR,QDNODQCBROEMKQ,,3,425.2
EBQWVD,KHZMNJODFVZLRL,,3,199.85
DXVXSV,NYMPBWJHCZRQOV,,2,145.23
XVTPAV,,,3,480.39
GEWSUZ,CEHWPWZAZBSJGU,,2,282.76
AAIONK,OKBDMOSKBSGJXS,,3,157.24
PKZMUQ,,,3,398.74
NCPZKX,,,3,422.32
GQVDYT,,,3,433.87
KOFWLM,,,2,100.38
MAINXM,,,1,258.62
UFHEHF,CVOCTBBDVSPRST,,1,213.43
HJCBXT,HISUQSKFKJZTBA,,1,437.35
YWZTYW,RLWYTCPVMZNROR,,3,88.45
JAACJG,,,2,249.19
OQMRDD,YUVFXVGLRPXIWM,UXQSYQZBDSNA,2,178.39
PYIGVH,,,1,15.17
BCGSJU,NVJWSMLQIAKVNF,,2,159.93
BEOKIT,,,3,447.14
QCOKWM,,,1,182.11
UBVUUC,,,2,181.9
ATRUGK,IOAADSVPVRUPTA,YYRRMHQGJMGT,2,613.45
XFAHFR,GWUQILVCDNPSOC,,1,11.54
EVHSEM,,,3,287.21
QTUJDB,WCZXVIGFOCRPXQ,,1,444.67
ROZVJX,YAZOAXOPAOCMTI,,1,36.63
OALIBV,,,3,198.5
JGRCQD,,,3,530.06
LDYKKW,,,3,126.99
QFYFXZ,MFKXSSJNSCCIMH,,2,413.97
GRDADM,AGQJMCJXWWLXZB,,1,520.04
WWGZMY,MMSFVULVSPMLZL,MIIZMZMZXFDF,1,493.62
VBWNDB,LAXQVBGYYZFATQ,SNUGVRRPEYEC,2,164.86
RCNZBI,,,2,297.65
LZVEDT,,,3,399.95
AYHTKP,,,3,264.45
PSDWJD,YBYXANBLLDKFWE,,1,598.94
HHDTQR,YAZOAXOPAOCMTI,,2,46.2
CUCEXV,LZDRTTXHQLPRGV,,1,110.1
JQGGLK,,,1,428.65
TYGQFG,LAXQVBGYYZFATQ,RORRBRXAWPMS,2,222.02
LJYISC,,,2,446.45
BKVLXP,WOWGCGMKDOVVKJ,,3,294.39
HPIIUT,,,2,76.81
VKIQFJ,HLITXZUSDZSVHQ,SKZKYFFAKMHK,2,466.21
ZLGKOK,CHZFCBLBDUUVDL,,1,123.25
BEJNHX,NRQXJZMMYINMJE,IPYIPJAPOXFT,3,96.3
PGCMZU,WNDQYMDSPTJMMX,AUMZYCROQRSI,3,189.97
TAPPJF,WTXIQLAROTGDWT,,1,35.49
WGQQWG,LIVBZBBCQCWGWN,SURWZQFVVXGN,2,122.98
LLOYDU,,,3,129.64
TKOZDL,QXLUVSJRNRDWXY,,2,134.19
KCTGZA,ZPJOVBWYQWTBQF,BMZYKLVFRRMH,2,136.51
KLZMZI,,,1,302.02
RPPRII,PZDBMRCXHNSNKG,,3,106.42
RMRVGZ,,,1,484.47
RMXYRB,,,2,492.16
ETISLS,EMRRUSUVDDAKLU,,2,525.63
HAVUAL,,,2,145.68
XFUMYS,,,1,48.31
GPVDUE,,,3,432.27
RTNKHK,,,2,494.41
FSAPVM,TFMGIHDKYDRTPW,,2,524.78
NZJYOS,,,1,331.66
OIUIXE,GNMXDGMJCVNYBI,VEQWEQITTZVT,2,623.49
OBJXWI,,,3,204.05
BSSXRD,RUKHEBAJALWYKK,,1,380.67
TJREMT,,,2,218.18
IPFSVT,JTIYAWLYZWGOLR,,2,490.29
HOPWFA,PGQROZBQDXKACZ,MTHFZINRAQDM,2,560.24
SJKZVX,EADEXETGYEYNSM,CBDFIVOYRHAM,3,449.2
ZLZZEI,IEKBPBVDBBLTHC,SPUCMRIPUGUO,1,311.98
HHDTQR,,,2,37.57
CRVHFI,JVSKUVGJKPTJJW,,1,626.84
ZLDGOT,FQVEJHMGIDMFUL,ICSYHVKEDPJR,1,47.01
FAMYVM,,,1,198.59
DVHOYT,ETEPLUYJMUFCLR,BJMHMRXZKCDS,2,46.68
PMVDAO,QRWAYFYPFTZPRG,,1,246.09
ASHSJD,ZTYHZAFDNWLXJY,,3,344.83
MWSETO,RRTLITGWBNLAML,,1,91.42
BTZPQT,IBCCRYUUGSMIZD,,3,57.89
GCYAAM,,,3,268.77
LPMJXH,OWCSBCZLICAHHB,KGTUIZNVMRRW,3,189.81
OXRJQH,GYWLUBSRDHHACY,DJTXABVLGHPN,1,204.37
IIHWOK,,,2,488.39
BWOBEM,LNSNGBNHLRXVTD,,1,223.97
ZGINQF,IWONRTJTUPYGPA,,3,440.52
IAIMRD,JMMULDSXXTEYYY,,2,165.11
DJIXWI,COLTCVQEHAOXGM,,1,322.46
DGIVQP,VBRCWRGNGCBBNS,BSRHVXSJQKRF,1,279.23
MGFUZS,,,3,420.29
RMBNOZ,MHVONQQRTYNYWB,,3,206.24
IUEXMV,,,3,495.08
YMBBPZ,EZNMMISHERPEER,,2,136.38
PHELAC,YSIZYUWNWYXSBI,WWOLYKOECPBP,3,570.16
PKELWR,EVZUAIAOHSSBVN,,1,535.21
HFUHGS,QUBZAGPLRNJHGY,EDWWKRPPGKXE,2,306.91
XSLOWX,OZXECALYNCVYOW,BEDHLWVJDRPM,2,204.15
CUGCRJ,YRGNIUDXOVAGOS,,1,564.88
CRQCDH,,,3,424.13
DYOTMB,ABAFCTNWWLSUXY,,3,87.81
YIKPFK,CIHOQKCSVMVGVG,QWFSWBCCJBDN,3,203.44
BQFFDQ,,,1,43.47
RUSPOH,RZVVBWOBMGNNHT,,2,178.46
QLMHGV,JAJOSUEYHGOKKP,REZMQKXXWXPO,1,313.6
FEZKFP,BNQCPIQBCWUIJE,,1,13.81
QNWSCQ,QACGHPRCBSCGBF,SQOINMZAQFHI,2,11.11
VEUUQC,,,1,123.49
MBNMOK,XTYFADRZIQVBET,RISTJGVILENB,2,80.7
RPLAXB,CHZFCBLBDUUVDL,KOUNIWFTTYSD,2,503.77
BGOWLV,GWCJZOCSFZVCOV,QGQYIQCGMDTN,3,355
VZDCPA,OGGFDKJSWULWVQ,,1,654.22
ZBJSVZ,YPGYHILEWOYBLN,GWKXDMGSQJYT,1,531.09
FOWWOA,VZDOMPTFEBLUQK,PACEPIWWIUFJ,3,114.34
KFUWGO,UPGMTIJLDIZJPM,,3,511.03
AJSIHN,WOWGCGMKDOVVKJ,VFVSEVHUDYKS,3,204.21
RQYIXB,ORJUECRWNLIPOJ,,3,272.03
FFKZKA,EFZJDRWSSZMXGX,,2,35.96
FNNTUO,LLZMMSEKZGQZSH,,1,529.46
QODIVD,RHMXHURMGXQNMJ,KMGYOMUKSIVK,1,284.83
EFPFJI,,,2,102.19
RYSYTK,WCXFAOLWFRTUUJ,,2,207.9
OUYKUD,,,3,369.85
UAFOCZ,BOCNUEKCFYHLRG,,3,606.33
BMMPJV,CVBRJLPXQZIXQG,LWEBJLKDWXWT,3,313.22
XBDFYQ,,,3,351.72
HVJRNO,,,2,218.41
XKOEZX,UEWAGCIKXRVQZB,KTJZZPETJOBG,3,372.56
YXHGIA,BUQLRSHHJGEIFF,NIHBWRKDSOBG,3,65.51
FBRRUH,,,1,424.31
DEGGHH,EMRRUSUVDDAKLU,,1,351.56
FZSKJR,OZXECALYNCVYOW,RGLYPCBEROPQ,2,494.46
KASZIJ,,,1,293.94
PAHNZL,,,1,47.07
IUJGHA,,,2,100.3
NNMQWF,,,2,63.96
MKWYLC,,,2,422.01
BIIZAU,,,3,436.6
ABVFJK,,,1,170.2
CVGDKL,UAVPNGVNZRYJXK,PKRUWSIQMMQU,2,28.08
JPAORD,IJVQUWMXEAZDIE,,1,341.5
QYNPEM,,,1,228.92
ZJNIDZ,PFDKRUMIBJQYIG,JPVUXQUAPWNE,3,186.21
ZJSOFF,BGMCDNYNGFVHEE,MCXBXIPLBCCI,2,543.46
KGNTBT,,,1,552.26
UHRBNP,,,2,448.1
SNJZHX,,,3,556.79
XSEAZG,NLNFNRSBQBSIXB,,3,126.19
TKZDCH,,,1,163.02
TFSEOM,QIJPFFDWRUODAB,,2,355.85
RIDXXI,,,2,535.38
UTQSEF,,,3,460.47
IUBLDF,,,3,401.72
AYHTKP,,,1,301.41
AFMEHZ,INOTGNRVSFFNLR,PVPXRVEQXHTR,3,77.87
RZWMVD,,,3,81.15
TQKKPF,XUNXXTHSJIJOCE,,2,218.57
EYYWVR,MDUGFBEPFGZAOF,ZAPEBUINOOUH,2,447.23
PWCYRR,KTDLZSUKHQMLLG,GIJPJAQETBZN,1,675.57
CQOKEH,,,1,208.52
BZMWBH,,,3,109.99
WVNXXV,OPENKBXEVSUCZH,,3,380.53
SNTBAS,,,1,16.89
YTSCPR,ACJCXUMQVEWAEI,,3,295.55
CDKXZE,RUKHEBAJALWYKK,ZNJBYYHHACNO,3,311.9
RUISLR,,,3,154.57
MGFXQK,,,2,367.69
WFDPQV,,,1,707.4
JZOQZU,,,3,264.66
EIAVGO,,,2,234.04
ZWMFCH,JJEVIBUUOVYAOB,BEDHLWVJDRPM,2,160.83
HPKKCO,,,3,120.87
YGXBAW,ZTYHZAFDNWLXJY,,2,16.36
GKPDUA,HPSCSBBAHVLGIP,CTNIOEHHBKGX,2,90.36
XMHBET,,,1,361.99
EXHMZD,,,3,65.7
MRLRVT,,,3,148.15
YVKDLW,,,2,601.9
POGGTI,,,3,617.39
BKZKFV,RKXCYQTKAKTOTF,TSSIWUJEJSKL,2,172.77
CWJHPC,,,3,373.18
XFUMYS,XNLKOJQUDHEGUQ,CQVIFLWQVSRM,3,33.16
EGHEJP,JJEVIBUUOVYAOB,MPHFLGUGFAIC,1,100.68
MNDTSK,,,1,314.4
UQLHBT,IXZBWJHXAWEXPY,KDWMZTHJFJBC,2,182.62
ISNODT,BBTDBNXLFYPZHZ,,1,323.74
SVQKBX,CPKHNBWKTQVLWM,SQCASGMLVYND,3,80.1
XQZUFJ,,,1,100.97
IYFVNB,,,3,661
RPPRII,JNSPJHXIEPVHUK,,1,77.73
ZSFXBX,CRVYGVKTEOJBZM,,3,269.79
ZFNRZO,VBRCWRGNGCBBNS,,3,632.56
XKBXWM,GDJUGVWKJFEOKI,BHRIFTLXNUIK,2,63.23
WRJHIC,FRYBODGMOFBLBY,,3,238.49
HWZZOJ,DPZAFBFZRKTNEN,DSIISTLQEEAE,3,380.14
ZHQHNR,,,2,502.36
RGEVAD,,,1,513.48
OBJXWI,,,1,183.3
WTLTCC,,,2,341.86
SKTRQW,QCWEOQJXJMQCZX,,3,559.19
JJYXGN,,,3,98.24
ABZKGQ,JVSKUVGJKPTJJW,QMOZQIUKBOTI,2,309.94
RPXGSL,FESHWTLWNOYOHE,FNSHMSBFCISS,2,498.82
QEMPAC,QUBZAGPLRNJHGY,RJPXNLVDCIZA,2,489
CUOUFL,,,2,182.26
SQYWHX,FYGYQJCASFTTVH,,1,96.5
FURGCK,QRNAVWLPUZQITP,,2,11.78
NZPQTC,QRIUBAXHXNUZIM,,2,484.02
HXQPQO,MJQWSWNWWATSFR,TQLPUPPQIIEN,1,83.35
ASFGXI,BBTDBNXLFYPZHZ,,3,669.73
YFPQSH,VMUFCDQSAPUOKV,OHYOGMUIOVJV,1,82.16
DZMHHQ,,,3,269.01
OSBJSX,QFNXTITCKYUCXS,RXTGCFGUQKQU,1,508.68
QWQWOW,OOQHJGNITYIXTY,FIEGIPNDYYJT,3,124.18
WSMJGU,VCYYEZBOLSPETA,BABAHJVKSJBM,2,462.63
JKXCQM,,,2,590.78
TKPZAJ,,,3,317.6
NVJPSO,,,2,318.92
WQCMFB,,,2,175.22
OVNPGA,URYRSTDCDYMLNJ,PMQSRJFXVHSC,1,180.8
XKJZBG,,,1,517.88
XJXSZJ,,,3,76.72
VEOIUY,,,2,75.99
FNROUS,JAJOSUEYHGOKKP,AUGBYMEURYCT,1,517.64
CHTYWD,,,3,321.85
PZABAV,,,3,617.1
HDGLMK,,,1,161.53
YBNHPN,,,2,486.7
DLWWXS,,,1,131.55
UXEOVI,,,2,331.67
JCCQNB,,,1,181.96
RGEVAD,,,3,504.7
EWVWWF,NJFGQKWRFTZBKM,YLWQUSYIZTVU,2,454.89
UKNOSB,,,3,200.81
NALIJR,,,2,456.56
URAYVT,KGUALYGWIEFRCQ,QIGQTYWTBHCJ,3,502.03
KNALIB,,,1,55.42
LDZBGO,,,3,202.88
JVEICH,,,3,252.29
YRDEHW,,,2,250.79
JRCSST,KMIHLZGZDVBAXV,UTGBUDSAQZYN,1,557.86
WAWIZB,QCWEOQJXJMQCZX,,1,145.44
OXKNHF,NJOZWEISLGCJOV,,1,344.18
HTILHI,FYGYQJCASFTTVH,,1,452.44
HTLTNI,OEVTPMEQMCATMD,,3,281.93
PMJQGD,NYTUDKFLQIVRLX,FYIDQHEEBUJG,3,195.55
INKTHE,ZTYHZAFDNWLXJY,,3,435.54
YQLJTS,,,1,404.28
TYYKBL,,,2,488.86
RSFLVE,,,1,392.9
YFLEFE,RSZNDNECKISNLB,SEYDVXMRCIYV,3,132.25
WHAOAU,QXLUVSJRNRDWXY,,2,43.6
YMMGTO,,,2,180.2
OQHIUG,,,3,456.95
NLNVEA,,,3,64.48
TCILOV,,,3,322.96
LYFCJC,,,1,389.22
GALWXR,,,1,283.23
GBPFKD,,,2,123.99
MNVFEB,,,2,459.22
